"date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"2015-02-05 18:23:59",21.6,23.3933333333333,0,754.666666666667,0.00372831330419356,0
"2015-02-08 16:12:00",19.7225,26.7,31,422,0.00379072947168724,0
"2015-02-09 23:28:00",20.39,33,0,532,0.00489145462900984,0
"2015-02-07 21:36:59",19.89,27.1,0,438,0.00388831447503451,0
"2015-02-06 05:35:00",20.29,18.745,0,425.5,0.00275195710045601,0
"2015-02-09 12:24:59",21.5,34.4475,460.75,1423,0.00547177373905098,1
"2015-02-05 23:47:00",20.29,21.29,0,447,0.00312746769855435,0
"2015-02-05 09:39:00",22.1,25.7933333333333,459,1015,0.00424174597402334,1
"2015-02-07 01:21:00",20,18.7,0,439,0.00269628789148877,0
"2015-02-05 23:06:00",20.5,21.29,0,446.25,0.00316849891658704,0
"2015-02-08 17:41:00",19.39,27.2,0,426,0.00378267630066579,0
"2015-02-05 08:35:00",21.34,24.2225,433,703,0.00379990922537672,1
"2015-02-04 22:12:00",21.39,25.7,0,486,0.00404565562779471,0
"2015-02-08 07:32:00",19,31.39,0,432,0.00426381194518774,0
"2015-02-09 11:13:59",21.1666666666667,32.9966666666667,469,1377.33333333333,0.00513251200746536,1
"2015-02-08 17:36:00",19.39,27.2,14,419.5,0.00378267630066579,0
"2015-02-04 22:46:00",21.29,25.7,0,472.5,0.00402076872591321,0
"2015-02-08 18:40:59",19.39,27.39,0,432,0.00380926122794171,0
"2015-02-08 13:40:00",20.7,27.39,147.5,420.5,0.0041332834217088,0
"2015-02-05 01:21:00",21.1666666666667,25.2,0,444,0.00391214105268426,0
"2015-02-07 16:21:00",21,19.675,24,436,0.00301899350254098,0
"2015-02-05 03:07:00",20.9633333333333,24.89,0,443.333333333333,0.00381545588800348,0
"2015-02-05 07:14:00",20.7,22.65,0,451,0.00341406838754699,0
"2015-02-06 09:42:00",21.2,20.9975,456,801.25,0.00326301830262213,1
"2015-02-08 21:10:00",19.39,27.39,0,449,0.00380926122794171,0
"2015-02-06 05:02:00",20.39,18.7,0,431,0.00276241064121188,0
"2015-02-05 15:23:00",22.575,28,465.25,1108.25,0.00474344200093282,1
"2015-02-08 11:38:00",19.1,30.89,9.33333333333333,430.333333333333,0.00422187724213521,0
"2015-02-07 20:43:00",19.945,25.89,0,443,0.00372642469747065,0
"2015-02-06 06:49:59",20.245,18.6,0,433,0.00272295777185017,0
"2015-02-08 19:45:00",19.29,27.7,0,437,0.00382858181403718,0
"2015-02-05 01:08:00",21.1,25.39,0,444,0.00392561907243717,0
"2015-02-07 12:53:00",23.1,17,285,448.25,0.00296461817112944,0
"2015-02-06 00:06:00",20.2,21.29,0,447,0.00311002664087112,0
"2015-02-06 03:55:59",20.39,18.9266666666667,0,427.333333333333,0.0027960449244251,0
"2015-02-06 08:49:00",20.89,19.79,433,635.5,0.00301615411603875,1
"2015-02-09 17:45:59",22.1,38.29,433,1893.33333333333,0.00631771222677822,1
"2015-02-06 07:01:00",20.2,18.6,0,432,0.00271535808553788,0
"2015-02-04 19:21:59",22.1,27.2,0,580,0.00447473826972372,0
"2015-02-04 18:22:00",22.7,27.5,0,670,0.00469384871410812,0
"2015-02-09 08:12:59",19.5,26.6,0,471.5,0.00372428868561385,0
"2015-02-08 01:24:00",19.5,30.1,0,434,0.0042176495137607,0
"2015-02-06 11:06:59",21.7,20.6,489,846,0.00330101160183458,1
"2015-02-06 22:06:00",20,18.89,0,441,0.00272380329745947,0
"2015-02-07 14:23:59",22.39,17.3233333333333,124,439.666666666667,0.00289334643800711,0
"2015-02-05 09:01:00",21.5,24.3566666666667,465.666666666667,786.666666666667,0.00385896248129404,1
"2015-02-05 02:10:00",21,25.05,0,442.5,0.00384885379046066,0
"2015-02-07 20:12:59",20,25.0666666666667,0,443,0.00361961745471477,0
"2015-02-08 18:15:00",19.29,27.445,0,425,0.00379312181298036,0
"2015-02-05 05:36:00",20.89,23.445,0,448.5,0.00357640828064061,0
"2015-02-08 05:31:59",19.29,31.6,0,433,0.00437141240440136,0
"2015-02-08 00:49:59",19.55,29.89,0,442,0.00420115317235068,0
"2015-02-08 19:02:59",19.245,27.745,0,430,0.00382403862595271,0
"2015-02-09 04:19:00",19.29,26.7,0,473.5,0.00368954600216578,0
"2015-02-07 21:48:00",19.79,27.29,0,446,0.0038913852289912,0
"2015-02-05 16:59:00",22.29,26.1,441,1054.66666666667,0.00434283690213977,1
"2015-02-08 10:56:00",19.2225,30.525,26.5,433.5,0.00420385586075843,0
"2015-02-06 01:18:00",20.29,20.7,0,447,0.00304037397279384,0
"2015-02-08 12:40:59",19.7,30.1,178.666666666667,425,0.00427075229335247,0
"2015-02-06 01:08:00",20.26,20.7,0,443,0.00303471369223494,0
"2015-02-07 23:44:59",19.65,29.245,0,438,0.00413568405417123,0
"2015-02-09 14:48:00",21.79,35.845,474.5,1496.5,0.00579867174021067,1
"2015-02-08 13:33:00",20.625,27.65,205.5,429.5,0.00415341079159456,0
"2015-02-06 19:38:00",20.39,19.29,0,497,0.00284996625752727,0
"2015-02-05 22:34:00",20.55,21,0,454.5,0.00313482618237526,0
